Molecule Name,AD_index_LogP,Conf_index_LogP,LogP_pred,AD_LogP,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,VP_pred,AD_VP,AD_index_VP,Conf_index_VP,WS_pred,AD_WS,AD_index_WS,Conf_index_WS,HL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,KOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,ionization,AD_pKa,AD_index_pKa,Conf_index_pKa,pKa_a_pred,pKa_b_pred,AOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,BCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_pred,AD_ReadyBiodeg,Conf_index_ReadyBiodeg,KM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,AD_CERAPP_Ago,AD_CERAPP_Anta,AD_CERAPP_BinD,CERAPP_Ago_pred,AD_index_CERAPP_Ago,Conf_index_CERAPP_Ago,CERAPP_Anta_pred,AD_index_CERAPP_Anta,Conf_index_CERAPP_Anta,CERAPP_Bind_pred,AD_index_CERAPP_Bind,Conf_index_CERAPP_Bind,CoMPARA_Ago_pred,AD_CoMPARA_Ago,AD_index_CoMPARA_Ago,Conf_index_CoMPARA_Ago,CoMPARA_Anta_pred,AD_CoMPARA_Anta,AD_index_CoMPARA_Anta,Conf_index_CoMPARA_Anta,CoMPARA_Bind_pred,AD_CoMPARA_BinD,AD_index_CoMPARA_Bind,Conf_index_CoMPARA_Bind,CATMoS_VT_pred,AD_VT,AD_index_VT,Conf_index_VT,CATMoS_NT_pred,AD_NT,AD_index_NT,Conf_index_NT,CATMoS_EPA_pred,AD_EPA,AD_index_EPA,Conf_index_EPA,CATMoS_GHS_pred,AD_GHS,AD_index_GHS,Conf_index_GHS,CATMoS_LD50_pred,AD_LD50,AD_index_LD50,Conf_index_LD50,AD_index_ReadyBiodeg,
50-30-6,0.919871,0.754499,2.642880,1.000000,157.441357,1.000000,0.944920,0.842990,293.855264,1.000000,0.729356,0.715913,-3.603634,1.000000,0.749716,0.687716,-1.741231,1.000000,0.904985,0.668355,-8.311800,1.000000,0.468354,0.455566,5.617444,1.000000,0.487634,0.565302,7.769808,1.000000,0.716065,0.531879,1.000000,1.000000,0.876738,0.883918,1.982242,NaN,-11.514815,1.000000,0.332085,0.594036,0.341259,1.000000,0.877877,0.821388,0.571730,0.000000,0.357000,0.636113,0.000000,1.000000,0.839895,-0.758867,1.000000,0.587090,0.640087,1.773286,1.000000,0.675964,0.613933,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.944444,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.950000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.966667,3.000000,1.000000,1.000000,0.880000,4.000000,1.000000,1.000000,0.714286,2.974445,1.000000,1.000000,1.000000,0.679790,
50-31-7,0.611748,0.663621,3.536705,1.000000,147.890528,1.000000,0.949810,0.796142,300.603306,1.000000,0.552324,0.691840,-3.535219,1.000000,0.886931,0.688702,-1.788676,1.000000,0.907634,0.733292,-8.299204,1.000000,0.422437,0.442116,7.846948,1.000000,0.511510,0.549311,8.669162,1.000000,0.755089,0.564299,1.000000,1.000000,0.736852,0.816326,1.970134,NaN,-11.846660,1.000000,0.316989,0.567599,0.526632,1.000000,0.863457,0.862130,0.537301,0.000000,0.345312,0.626611,0.000000,1.000000,0.785773,-0.315938,1.000000,0.552203,0.629621,2.265573,1.000000,0.592813,0.650077,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.944444,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.900000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.964240,3.000000,1.000000,1.000000,0.935688,4.000000,1.000000,1.000000,0.725000,2.988124,1.000000,1.000000,0.957428,0.571547,
50-32-8,0.947304,0.887210,6.128521,1.000000,223.644102,1.000000,0.978058,0.708651,485.915688,0.000000,0.937575,0.871229,-8.047962,0.000000,0.948967,0.718118,-8.338367,0.000000,0.997878,0.873259,-6.243648,1.000000,0.934862,0.903100,27.382644,1.000000,0.432964,0.477008,10.343479,1.000000,0.982701,0.784403,0.000000,1.000000,0.481974,0.592015,NaN,NaN,-10.451230,1.000000,0.688954,0.721161,2.781789,1.000000,0.550166,0.594045,2.416419,1.000000,0.890836,0.869719,0.000000,1.000000,0.861809,0.036509,1.000000,0.891915,0.888108,5.815381,1.000000,0.876376,0.737595,1.000000,1.000000,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,0.500000,1.000000,0.938549,0.630408,0.000000,1.000000,0.991090,0.910968,1.000000,1.000000,1.000000,0.611111,1.000000,1.000000,1.000000,0.548387,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984214,0.827914,3.000000,1.000000,1.000000,0.611111,4.000000,1.000000,1.000000,0.411765,3.044702,1.000000,1.000000,0.681818,0.723619,
50-33-9,0.864509,0.742569,3.250732,1.000000,115.262899,1.000000,0.896449,0.753683,340.748388,0.000000,0.333072,0.454932,-6.047581,1.000000,0.414302,0.485971,-4.142309,1.000000,0.872738,0.669771,-7.206147,1.000000,0.384565,0.399445,24.476319,1.000000,0.532404,0.518968,10.364936,1.000000,0.981974,0.778596,1.000000,1.000000,0.451451,0.680251,NaN,1.151438,-10.739166,0.000000,0.187716,0.493512,2.067962,1.000000,0.445017,0.519586,0.546228,1.000000,0.399728,0.650761,0.000000,1.000000,0.514463,-0.455518,1.000000,0.466308,0.553352,3.105354,1.000000,0.296478,0.447486,1.000000,1.000000,1.000000,0.000000,1.000000,0.900000,0.000000,1.000000,0.875000,0.000000,1.000000,0.736842,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975210,0.713459,0.000000,1.000000,0.989884,0.804534,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.928571,2.000000,1.000000,1.000000,0.727273,4.000000,1.000000,1.000000,0.545455,2.657509,1.000000,1.000000,0.791667,0.416352,
50-34-0,0.477761,0.534202,4.887821,1.000000,110.639584,1.000000,0.483473,0.426588,374.487904,0.000000,0.275337,0.539507,-6.443232,1.000000,0.393601,0.459747,-6.110753,1.000000,0.473837,0.484285,-6.233936,0.000000,0.293464,0.367031,25.804956,1.000000,0.556618,0.543470,10.425430,1.000000,0.979695,0.770326,1.000000,1.000000,0.373135,0.641091,NaN,7.507445,-10.611460,0.000000,0.139059,0.483080,2.742252,1.000000,0.379110,0.455292,0.629234,0.000000,0.208176,0.504958,0.000000,1.000000,0.506136,0.270261,1.000000,0.281182,0.473543,5.039690,1.000000,0.340762,0.510523,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.800000,0.000000,1.000000,1.000000,0.882353,1.000000,1.000000,1.000000,0.647059,1.000000,1.000000,0.990058,0.643139,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.865385,2.000000,1.000000,1.000000,0.713636,4.000000,1.000000,1.000000,0.849624,2.633213,1.000000,1.000000,1.000000,0.448764,
50-35-1,0.864222,0.790374,0.281472,1.000000,264.255783,1.000000,0.856483,0.690394,288.344806,0.000000,0.200683,0.457224,-9.901660,1.000000,0.420242,0.354117,-2.579220,1.000000,0.855499,0.758482,-8.652697,0.000000,0.200933,0.310642,7.256830,1.000000,0.494051,0.521335,10.477556,0.000000,0.512230,0.441244,1.000000,1.000000,0.322968,0.591114,6.393006,NaN,-11.079979,0.000000,0.151608,0.459657,0.412436,1.000000,0.353841,0.611509,0.547594,0.000000,0.324996,0.627837,0.000000,1.000000,0.522381,0.030277,1.000000,0.252411,0.506401,1.624516,1.000000,0.365144,0.483906,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.894737,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.962366,0.888891,0.000000,1.000000,1.000000,0.966667,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.851852,4.000000,1.000000,1.000000,0.681818,5.000000,1.000000,1.000000,0.700000,3.236049,1.000000,1.000000,0.750000,0.432188,
50-36-2,0.872828,0.869435,2.260351,1.000000,96.902894,1.000000,0.881340,0.802227,332.356533,1.000000,0.368497,0.518856,-6.550301,1.000000,0.865715,0.708456,-2.325533,1.000000,0.871808,0.768242,-7.645181,1.000000,0.357427,0.374420,14.400359,1.000000,0.509261,0.476814,8.660410,1.000000,0.988307,0.795802,1.000000,1.000000,0.417253,0.663207,NaN,7.780851,-10.739373,0.000000,0.166501,0.482572,0.842507,1.000000,0.391885,0.527463,0.526232,0.000000,0.219159,0.568896,1.000000,1.000000,0.516746,-0.358700,1.000000,0.446426,0.531042,3.007237,1.000000,0.357008,0.478739,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.947368,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.833333,0.000000,1.000000,1.000000,0.962963,0.000000,1.000000,1.000000,0.916667,0.000000,1.000000,1.000000,0.936190,2.000000,1.000000,0.970957,0.555026,4.000000,1.000000,1.000000,0.786765,2.916856,1.000000,1.000000,0.846053,0.469984,
50-37-3,0.864254,0.802063,2.942244,1.000000,93.912707,1.000000,0.861765,0.645827,360.645347,0.000000,0.208651,0.362043,-8.206204,1.000000,0.340885,0.360035,-3.413222,1.000000,0.502785,0.472362,-8.878610,1.000000,0.267587,0.294498,13.903756,1.000000,0.554153,0.497396,10.372299,0.000000,0.445426,0.409688,1.000000,1.000000,0.425165,0.654995,NaN,5.661204,-10.471044,0.000000,0.130876,0.505092,1.086241,1.000000,0.386935,0.526115,0.501999,0.000000,0.218521,0.570585,0.000000,1.000000,0.561295,0.202231,0.000000,0.206563,0.372044,2.918894,0.000000,0.186118,0.353373,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.882353,0.000000,1.000000,1.000000,0.625000,1.000000,1.000000,1.000000,0.941176,1.000000,1.000000,1.000000,0.724138,0.000000,1.000000,0.964092,0.962248,0.000000,1.000000,1.000000,0.933333,2.000000,1.000000,1.000000,0.652174,4.000000,1.000000,0.965021,0.619563,2.324360,1.000000,1.000000,0.458333,0.431606,
50-39-5,0.716694,0.666335,-0.529590,1.000000,142.158444,1.000000,0.897370,0.785353,336.729609,0.000000,0.189146,0.453328,-7.410047,1.000000,0.398277,0.388693,-0.026814,1.000000,0.629552,0.586353,-7.926069,1.000000,0.198354,0.276665,5.938492,1.000000,0.430454,0.531136,10.914447,0.000000,0.697891,0.525065,1.000000,1.000000,0.287216,0.598161,NaN,3.282312,-11.030463,0.000000,0.212283,0.524274,0.177594,1.000000,0.323473,0.541363,0.632853,0.000000,0.190828,0.473907,0.000000,1.000000,0.490190,-0.222472,1.000000,0.244001,0.513211,1.647936,1.000000,0.323284,0.531179,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.944444,0.000000,1.000000,0.953536,0.940959,0.000000,1.000000,1.000000,0.966667,0.000000,1.000000,0.979614,0.944235,1.000000,1.000000,0.984664,0.860403,3.000000,1.000000,0.972399,0.708030,4.000000,1.000000,0.987582,0.798763,2.885169,1.000000,0.949520,0.906274,0.416871,
50-42-0,0.584415,0.684278,3.334894,1.000000,111.434035,1.000000,0.895497,0.684099,348.649292,1.000000,0.361121,0.535130,-5.870215,1.000000,0.511773,0.533392,-4.247121,1.000000,0.494192,0.435258,-7.428492,1.000000,0.434519,0.496157,24.330958,1.000000,0.473844,0.491115,9.819803,1.000000,0.966716,0.733920,1.000000,1.000000,0.834430,0.871667,NaN,7.859004,-10.704552,0.000000,0.198112,0.492706,2.243351,1.000000,0.427685,0.536500,0.526644,0.000000,0.311849,0.615267,0.000000,1.000000,0.510110,-0.357012,1.000000,0.410895,0.521434,3.175937,1.000000,0.452186,0.549781,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.736842,0.000000,1.000000,1.000000,0.947368,0.000000,1.000000,1.000000,0.578947,0.000000,1.000000,1.000000,0.821429,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.921538,3.000000,1.000000,0.948566,0.768341,4.000000,1.000000,1.000000,0.750000,2.849242,1.000000,1.000000,0.787138,0.456712,
